district,sector,trade,priority,recommendation_type,recommendation,reason,supporting_metrics,confidence_score,data_availability
beed,,operator advance machine tool,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for operator advance machine tool in beed before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.0, 'current_demand_score': 50.0, 'current_gap': 50.0, 'priority_score': 50.0, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
chhatrapati sambhajinagar,,operator advance machine tool,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for operator advance machine tool in chhatrapati sambhajinagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.0, 'current_demand_score': 50.0, 'current_gap': 50.0, 'priority_score': 50.0, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
dhule,,operator advance machine tool,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for operator advance machine tool in dhule before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.0, 'current_demand_score': 50.0, 'current_gap': 50.0, 'priority_score': 50.0, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
jalgaon,,operator advance machine tool,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for operator advance machine tool in jalgaon before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.0, 'current_demand_score': 50.0, 'current_gap': 50.0, 'priority_score': 50.0, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
latur,,operator advance machine tool,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for operator advance machine tool in latur before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.0, 'current_demand_score': 50.0, 'current_gap': 50.0, 'priority_score': 50.0, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
pune,,operator advance machine tool,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for operator advance machine tool in pune before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.0, 'current_demand_score': 50.0, 'current_gap': 50.0, 'priority_score': 50.0, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
sangli,,operator advance machine tool,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for operator advance machine tool in sangli before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.0, 'current_demand_score': 50.0, 'current_gap': 50.0, 'priority_score': 50.0, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
wardha,,operator advance machine tool,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for operator advance machine tool in wardha before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.0, 'current_demand_score': 50.0, 'current_gap': 50.0, 'priority_score': 50.0, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
ahmednagar,,electrician under dual system training,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for electrician under dual system training in ahmednagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
ahmednagar,,electroplater,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for electroplater in ahmednagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
ahmednagar,,fashion design and technology,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for fashion design and technology in ahmednagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
ahmednagar,,fitter under dual training system,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for fitter under dual training system in ahmednagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
ahmednagar,,maintenance mechanic (chemical plant),Insufficient Data,Data Ingestion Required,Collect further supply and demand data for maintenance mechanic (chemical plant) in ahmednagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
ahmednagar,,mechanic auto electrical and electronics,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for mechanic auto electrical and electronics in ahmednagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
ahmednagar,,sewing technology,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for sewing technology in ahmednagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
